"Time","Value"
1734707355500,689
1734707356000,
1734707356500,
1734707357000,687
1734707357500,
1734707358000,
1734707358500,
1734707359000,691
1734707359500,
1734707360000,
1734707360500,
1734707361000,688
1734707361500,
1734707362000,
1734707362500,
1734707363000,689
1734707363500,
1734707364000,
1734707364500,
1734707365000,690
1734707365500,
1734707366000,
1734707366500,690
1734707367000,
1734707367500,
1734707368000,
1734707368500,689
1734707369000,
1734707369500,
1734707370000,
1734707370500,691
1734707371000,
1734707371500,
1734707372000,
1734707372500,690
1734707373000,
1734707373500,
1734707374000,
1734707374500,687
1734707375000,
1734707375500,
1734707376000,
1734707376500,690
1734707377000,
1734707377500,
1734707378000,690
1734707378500,
1734707379000,
1734707379500,
1734707380000,690
1734707380500,
1734707381000,
1734707381500,
1734707382000,689
1734707382500,
1734707383000,
1734707383500,
1734707384000,691
1734707384500,
1734707385000,
1734707385500,688
1734707386000,
1734707386500,
1734707387000,
1734707387500,687
1734707388000,
1734707388500,
1734707389000,
1734707389500,689
1734707390000,
1734707390500,
1734707391000,
1734707391500,691
1734707392000,
1734707392500,
1734707393000,
1734707393500,689
1734707394000,
1734707394500,
1734707395000,688
1734707395500,
1734707396000,
1734707396500,
1734707397000,690
1734707397500,
1734707398000,
1734707398500,
1734707399000,691
1734707399500,
1734707400000,
1734707400500,
1734707401000,690
1734707401500,
1734707402000,
1734707402500,
1734707403000,688
1734707403500,
1734707404000,
1734707404500,688
1734707405000,
1734707405500,
1734707406000,
1734707406500,689
1734707407000,
1734707407500,
1734707408000,
1734707408500,689
1734707409000,
1734707409500,
1734707410000,
1734707410500,689
1734707411000,
1734707411500,
1734707412000,
1734707412500,691
1734707413000,
1734707413500,
1734707414000,691
1734707414500,
1734707415000,
1734707415500,
1734707416000,689
1734707416500,
1734707417000,
1734707417500,
1734707418000,689
1734707418500,
1734707419000,
1734707419500,
1734707420000,691
1734707420500,
1734707421000,
1734707421500,
1734707422000,690
1734707422500,
1734707423000,
1734707423500,690
1734707424000,
1734707424500,
1734707425000,
1734707425500,691
1734707426000,
1734707426500,
1734707427000,
1734707427500,691
1734707428000,
1734707428500,
1734707429000,
1734707429500,689
1734707430000,
1734707430500,
1734707431000,
1734707431500,689
1734707432000,
1734707432500,
1734707433000,
1734707433500,689
1734707434000,
1734707434500,
1734707435000,689
1734707435500,
1734707436000,
1734707436500,
1734707437000,689
1734707437500,
1734707438000,
1734707438500,
1734707439000,689
1734707439500,
1734707440000,
1734707440500,
1734707441000,689
1734707441500,
1734707442000,
1734707442500,692
1734707443000,
1734707443500,
1734707444000,
1734707444500,689
1734707445000,
1734707445500,
1734707446000,
1734707446500,690
1734707447000,
1734707447500,
1734707448000,
1734707448500,690
1734707449000,
1734707449500,
1734707450000,
1734707450500,690
1734707451000,
1734707451500,
1734707452000,691
1734707452500,
1734707453000,
1734707453500,
1734707454000,692
1734707454500,
1734707455000,
1734707455500,
1734707456000,691
1734707456500,
1734707457000,
1734707457500,
1734707458000,690
1734707458500,
1734707459000,
1734707459500,
1734707460000,689
1734707460500,
1734707461000,
1734707461500,689
1734707462000,
1734707462500,
1734707463000,
1734707463500,691
1734707464000,
1734707464500,
1734707465000,
1734707465500,692
1734707466000,
1734707466500,
1734707467000,
1734707467500,691
1734707468000,
1734707468500,
1734707469000,
1734707469500,691
1734707470000,
1734707470500,
1734707471000,
1734707471500,692
1734707472000,
1734707472500,
1734707473000,688
1734707473500,
1734707474000,
1734707474500,
1734707475000,688
1734707475500,
1734707476000,
1734707476500,
1734707477000,691
1734707477500,
1734707478000,
1734707478500,
1734707479000,691
1734707479500,
1734707480000,
1734707480500,691
1734707481000,
1734707481500,
1734707482000,
1734707482500,692
1734707483000,
1734707483500,
1734707484000,
1734707484500,688
1734707485000,
1734707485500,
1734707486000,
1734707486500,690
1734707487000,
1734707487500,
1734707488000,
1734707488500,689
1734707489000,
1734707489500,
1734707490000,691
1734707490500,
1734707491000,
1734707491500,
1734707492000,690
1734707492500,
1734707493000,
1734707493500,
1734707494000,689
1734707494500,
1734707495000,
1734707495500,
1734707496000,692
1734707496500,
1734707497000,
1734707497500,
1734707498000,691
1734707498500,
1734707499000,
1734707499500,
1734707500000,692
1734707500500,
1734707501000,
1734707501500,692
1734707502000,
1734707502500,
1734707503000,
1734707503500,690
1734707504000,
1734707504500,
1734707505000,
1734707505500,690
1734707506000,
1734707506500,
1734707507000,
1734707507500,689
1734707508000,
1734707508500,
1734707509000,691
1734707509500,
1734707510000,
1734707510500,
1734707511000,689
1734707511500,
1734707512000,
1734707512500,
1734707513000,689
1734707513500,
1734707514000,
1734707514500,
1734707515000,689
1734707515500,
1734707516000,
1734707516500,
1734707517000,692
1734707517500,
1734707518000,
1734707518500,690
1734707519000,
1734707519500,
1734707520000,
1734707520500,690
1734707521000,
1734707521500,
1734707522000,
1734707522500,689
